Year,Month,Department,Division,Merchant,TranxDescription,TranxDate,TrnxAmount,Difference
2023,7,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,PSI SERVICES LLC,Schools Educational Svc-Not Elsewhere Classified,12/30/2022,26.09,73.91
2021,7,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,BARNES And NOBLE 2366,Book Stores,01/18/2021,238.2,-138.2
2019,1,DEPT OF TRANSPORTATION,Maintenance Districts,DELAWARE ELECTRIC COOPER,Utlts-Elctrc Gas Heating Oil Sanitary Water,07/24/2018,5.91,94.09
2023,7,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,WWW.GYMMASTER.COM,Computer Software Stores,01/20/2023,229.0,-129.0
2021,10,CAESAR RODNEY SCHOOL DISTRICT,CAESAR RODNEY SCHOOL DISTRICT,THE WEBSTAURANT STORE INC,Durable Goods Not Elsewhere Classified,04/22/2021,15.96,84.03999999999999
2019,8,DELAWARE NATIONAL GUARD,Delaware National Guard,ORBITZ*7415271696462,Travel,02/26/2019,274.95,-174.95
2019,11,SVS FR CHILDREN YOUTH FAMILIES,Office OT Director,VZWRLSS*IVR VB,Telecom Incl Prepaid-Recurring Phone Svcs,05-10-2019,49.06,50.94
2023,7,DEPT OF CORRECTIONS,James T Vaughn Correctional C,ATLANTIC TACTICAL ACCT R,Mens-Womens-Childrens Uniforms-Commercial Cloth,01/18/2023,1814.64,-1714.64
2021,5,DEPT OF CORRECTIONS,Food Services,HYPOINT DAIRY FARMS INC,Dairy Products Stores,11/23/2020,23.25,76.75
2022,11,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,AMZN MKTP US*1L7TV6BZ0,Book Stores,05/18/2022,20.9,79.1
2019,3,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,MICHAELS.COM,Artist Supply Stores Craft Shops,09/14/2018,43.79,56.21
2021,12,DEPT OF SAFETY AND HOMELAND,State Police-Executive,ENTERPRISE RENT-A-CAR,Car Rental,06-10-2021,212.24,-112.24000000000001
2020,8,SVS FR CHILDREN YOUTH FAMILIES,Managed Care Organization,DELTA AIR 0067417662974,Airline,02/21/2020,129.2,-29.19999999999999
2021,11,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,AMZN MKTP US*P51KD2L13,Book Stores,04/27/2021,57.2,42.8
2019,3,DEPT OF NATRL RES AND ENV CONT,Climate Coastal and Energy,METRO CAB,Travel,09/25/2018,60.25,39.75
2022,11,DEPT OF TRANSPORTATION,Maintenance Districts,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,05-06-2022,731.45,-631.45
2019,2,DEL TECH AND COMM COLLEGE,Owens Campus,BIO RAD LABORATORIES,Dental-Lab-Med-Ophthalmic Hosp Equip Supplies,07/27/2018,818.23,-718.23
2021,12,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,PROMETRIC EXAM FEE,Schools Educational Svc-Not Elsewhere Classified,06-02-2021,115.0,-15.0
2019,6,EXECUTIVE,Food Distribution,NAPA STORE 8031433,Automotive Parts Accessories Stores,12-05-2018,160.05,-60.05000000000001
2022,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,COVETRUS NA DUBLIN,Nondurable Goods Not Elsewhere Classified,07-03-2021,568.8,-468.79999999999995
2023,4,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US*1K11K5811,Book Stores,10-10-2022,18.98,81.02
2020,9,DEL TECH AND COMM COLLEGE,DTCC - Office of the President,DMI* DELL HLTHCR/REL,Computers Computer Peripheral Equipment Software,02/28/2020,245.18,-145.18
2022,1,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,LOWES #00907*,Home Supply Warehouse Stores,07-04-2021,13.28,86.72
2019,5,CAPE HENLOPEN SCHOOL DISTRICT,Cape Henlopen School District,YPS*HOMEAWAY HA-L17WNS,Lodging,11-07-2018,246.0,-146.0
2019,11,FIRST STATE MILITARY ACADEMY,First State Military Academy,HILTON CONVENTION CTR,Lodging,05-03-2019,-235.13,-135.13
2019,12,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,LOWES #00658*,Home Supply Warehouse Stores,06/26/2019,41.94,58.06
2023,4,INDIAN RIVER SCHOOL DISTRICT,Indian River School District,ASHA EVENTS - 7,Organizations Charitable And Social Services,10/20/2022,378.97,-278.97
2021,9,DEPT OF TRANSPORTATION,US 301 Maintenance Operations,WASTE MGMT WM EZPAY,Utlts-Elctrc Gas Heating Oil Sanitary Water,03-04-2021,259.22,-159.22000000000003
2021,7,DEPT OF CORRECTIONS,Bureau Chief-Prisons,MR TACO MEXICAN GRILL INC,Misc Food Store-Convenience Mrkt Splty Vendng Macs,01-06-2021,41.05,58.95
2019,4,LEGAL,Department of Justice,ORIGINAL NINFA'S,Eating Places Restaurants,10/23/2018,36.58,63.42
2021,9,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMZN MKTP US*GH5064FZ3,Book Stores,03-03-2021,169.99,-69.99000000000001
2020,2,JUDICIAL,Justice of the Peace Court,COL PRKNG JSTCE CTR Q08,Automobile Parking Lots And Garages,08-06-2019,11.0,89.0
2021,3,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,DELUXE *,Stationery-Office Supplies-Printing Writing Pap,08/28/2020,221.82,-121.82
2023,4,DEPT OF CORRECTIONS,Special Operations,MES/WARREN FIRE/LAWMEN,Durable Goods Not Elsewhere Classified,10-07-2022,207.48,-107.47999999999999
2023,4,COLONIAL SCHOOL DISTRICT,Colonial School District,AMAZON.COM*H813I20Q1,Book Stores,10/21/2022,490.0,-390.0
2019,2,DEPT OF CORRECTIONS,Employee Development Center,STAPLS0167678477000001,Stationery-Office Supplies-Printing Writing Pap,08-02-2018,12.14,87.86
2023,5,FIRE PREVENTION COMMISSION,State Fire School,LOWES #00587*,Home Supply Warehouse Stores,11/14/2022,62.26,37.74
2019,9,DEPT OF CORRECTIONS,Facilities Maintenance,STAPLES INC - VT,Stationery-Office Supplies-Printing Writing Pap,03/20/2019,1.26,98.74
2020,9,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,SQ *A And K ENTERPRISES,Sporting Goods Stores,03-01-2020,14.0,86.0
2023,1,DEPT OF HEALTH AND SOCIAL SV,Hospital ft Chronically Ill,AIRGAS USA LLC,Utlts-Elctrc Gas Heating Oil Sanitary Water,07/19/2022,514.96,-414.96000000000004
2020,12,DEPT OF CORRECTIONS,Probation And Parole,BI INC AP,Durable Goods Not Elsewhere Classified,06-10-2020,5533.2,-5433.2
2019,12,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,FIDELITY POWER SYSTEMS,Heating Plumbing Air Conditioning Contractors,06-03-2019,195.0,-95.0
2022,8,COLONIAL SCHOOL DISTRICT,Colonial School District,HILTON ADVPURCH8002367113,Lodging,02/23/2022,1851.9,-1751.9
2020,8,LEGISLATIVE BRANCH,General Assembly House,QUILL CORPORATION,Stationery-Office Supplies-Printing Writing Pap,02/14/2020,53.96,46.04
2022,8,DEPT OF CORRECTIONS,James T Vaughn Correctional C,STAPLS0197452043000005,Stationery-Office Supplies-Printing Writing Pap,02-05-2022,36.45,63.55
2022,10,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,GRAINGER,Industrial Supplies Not Elsewhere Classified,04/26/2022,303.85,-203.85000000000002
2020,3,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,WWW.REDBUBBLE.COM,Mens And Womens Clothing Stores,09/17/2019,1918.41,-1818.41
2022,11,APPOQUINIMINK SCHOOL DISTRICT,Appoquinimink School District,AMAZON.COM*1Q4TT3800,Book Stores,05-03-2022,152.02,-52.02000000000001
2019,4,DEPT OF CORRECTIONS,James T Vaughn Correctional C,GIH*GLOBALINDUSTRIALEQ,Industrial Supplies Not Elsewhere Classified,10-11-2018,270.0,-170.0
2022,2,DEPT OF CORRECTIONS,Delaware Correctional Industri,SUBLIMATION101,Computers Computer Peripheral Equipment Software,08/17/2021,139.96,-39.96000000000001
2022,5,JUDICIAL,Information Technology,AMZN MKTP US*PR72E6YK3,Book Stores,10/28/2021,12.99,87.01
2023,2,DEL TECH AND COMM COLLEGE,Owens Campus,BELLA CAPRI RESTAURANT,Eating Places Restaurants,08-03-2022,105.0,-5.0
2020,11,COLONIAL SCHOOL DISTRICT,Nccdsc,AMZN MKTP US*MW19Q1JE3,Book Stores,05-08-2020,12.99,87.01
2020,4,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,IN *INTERSTATE SHELLFISH,Organizations Membership-Not Elsewhere Classified,10/24/2019,670.0,-570.0
2021,10,DEPT OF CORRECTIONS,Administrative Services,STAPLS0191152387000001,Stationery-Office Supplies-Printing Writing Pap,04/22/2021,19.83,80.17
2021,2,DEPT OF TRANSPORTATION,Maintenance Districts,FASTENAL COMPANY 01DENEA,Industrial Supplies Not Elsewhere Classified,08/24/2020,33.75,66.25
2022,11,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,IDU*INSIGHT PUBLIC SEC,Computer Software Stores,05/15/2022,416.99,-316.99
2022,5,DEPT OF NATRL RES AND ENV CONT,Parks and Recreation,THE HOME DEPOT #8440,Home Supply Warehouse Stores,11-10-2021,6.98,93.02
2020,2,DEPT OF HEALTH AND SOCIAL SV,Community Health,HUNGER BURGER,Eating Places Restaurants,08/22/2019,20.77,79.23
2020,2,DEPT OF HEALTH AND SOCIAL SV,Emergency Medical Svcs,HILTON HOTEL CRYSTAL CIT,Lodging,08/23/2019,102.0,-2.0
2022,2,DEPT OF HEALTH AND SOCIAL SV,Management Services,CHEESECAKE BOSTON,Eating Places Restaurants,08-10-2021,20.57,79.43
2019,11,DEPT OF NATRL RES AND ENV CONT,Watershed Stewardship,SSI*SCHOOL SPECIALTY,Direct Marketing-Other Direct Marketers-Not Elsew,05-01-2019,5.75,94.25
2019,6,DEPT OF CORRECTIONS,James T Vaughn Correctional C,FASTENAL COMPANY01,Hardware Stores,11/27/2018,135.2,-35.19999999999999
2019,10,DEPT OF CORRECTIONS,Sussex Correctional Inst,LOWES #02795*,Home Supply Warehouse Stores,04-05-2019,44.98,55.02
2021,3,DEL TECH AND COMM COLLEGE,DTCC - Terry Campus,AMZN MKTP US*MU2BX9RV0,Book Stores,09/17/2020,637.0,-537.0
2023,4,DEPT OF TRANSPORTATION,Maintenance Districts,SALISBURY AUTOMOTIVE,Automotive Parts Accessories Stores,10/24/2022,5.92,94.08
2020,12,DEPT OF NATRL RES AND ENV CONT,Fiscal Management,VERIZONWRLSS*RTCCR VB,Telecom Incl Prepaid-Recurring Phone Svcs,06/17/2020,40.05,59.95
2023,1,DEL TECH AND COMM COLLEGE,DTCC - Stanton Campus,VERIZON*ONETIMEPAYMENT,Telecom Incl Prepaid-Recurring Phone Svcs,07/22/2022,40.03,59.97
2022,5,DEPT OF STATE,Delaware Public Archives,WASTE MGMT WM EZPAY,Utlts-Elctrc Gas Heating Oil Sanitary Water,11/17/2021,592.83,-492.83000000000004
2021,7,DEPT OF HEALTH AND SOCIAL SV,Community Health,ABSA,Schools Educational Svc-Not Elsewhere Classified,12/28/2020,210.0,-110.0
2022,2,DEPT OF CORRECTIONS,Facilities Maintenance,GRAINGER,Industrial Supplies Not Elsewhere Classified,08/17/2021,37.76,62.24
2019,2,DEPT OF CORRECTIONS,Sussex Correctional Inst,STAPLS0167679092000004,Stationery-Office Supplies-Printing Writing Pap,08-02-2018,24.48,75.52
2021,3,SUSSEX ACADEMY OF ARTSSCIENCE,Sussex Academy Of ArtsScience,LOWES #00658*,Home Supply Warehouse Stores,09-05-2020,845.08,-745.08
2021,5,DEL TECH AND COMM COLLEGE,WILMINGTON CAMPUS,SHOPRITE CHRSTNLNDG S1,Grocery Stores Supermarkets,11/13/2020,220.99,-120.99000000000001
2020,7,DEPT OF SAFETY AND HOMELAND,Communication,PASCO BATTERY WAREHOUSE,Automotive Parts Accessories Stores,01-03-2020,674.1,-574.1
2020,4,DEPT OF HEALTH AND SOCIAL SV,Community Health,HAMPTON INN HARRISON,Lodging,09/27/2019,729.0,-629.0
2019,9,DEPT OF NATRL RES AND ENV CONT,Fish and Wildlife,FASTENAL COMPANY01,Hardware Stores,03/25/2019,9.11,90.89
2022,11,EARLY COLLEGE HIGH SCHOOL,Early College High School,SAMS CLUB #6330,Wholesale Clubs,05-04-2022,74.9,25.099999999999994
2022,11,DEPT OF LABOR,Office Of The Secretary,EIG*CONSTANTCONTACT.COM,Direct Marketing-Continuity-Subscription Merchants,05/15/2022,125.0,-25.0
2020,7,DEPT OF CORRECTIONS,Sussex Cty Community Correctio,CAN*CANONFINANCIAL CFS,Electronic Sales,01/16/2020,737.21,-637.21
2021,9,DEPT OF CORRECTIONS,Facilities Maintenance,GRAINGER,Industrial Supplies Not Elsewhere Classified,03/22/2021,107.73,-7.730000000000004
2020,5,SVS FR CHILDREN YOUTH FAMILIES,24 Hour Treatment,WM SUPERCENTER #3802,Grocery Stores Supermarkets,11/19/2019,182.12,-82.12
